"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH","UL. SZKOLNA","63-522","KRASZEWICE","18.22403","51.51563","99.90000000000002","1016.1333333333333","18.46666666666667","3.3333333333333335","1.6733333333333331","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA WE WRZ?SOWICACH","UL. SZKOLNA","32-040","WRZ?SOWICE","19.94282","49.96103","73.40833333333333","983.2166666666667","23.016666666666666","13.858333333333334","12.391666666666666","2026-06-30 06:00:00.0"
"ZESP?? SZK?? NR 1 W PSZCZYNIE","UL. KAZIMIERZA WIELKIEGO","43-200","PSZCZYNA","18.9457058","49.965883","99.90000000000002","1005.5","20.333333333333332","29.099999999999998","14.456666666666669","2026-06-30 06:00:00.0"
"ZESP?? SZK?? IM. POWSTA?C?W WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM","SZKOLNA","63-421","JANK?W PRZYGODZKI","17.7889069","51.596172","99.90000000000002","992.4","16.4","21.3","11.15","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA NR 7 IM. ?O?NIERZY WRZE?NIA W ?WIKLICACH","UL. M?CZENNIK?W O?WI?CIMSKICH","43-229","?WIKLICE","18.989839","49.971937","99.90000000000002","990.6666666666666","22.133333333333336","24.633333333333336","14.553333333333333","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA NR 12 W STUDZIONCE","UL. JORDANA","43-245","STUDZIONKA","18.774985","49.9603559","99.90000000000002","998.3666666666667","20.466666666666665","22.0","11.343333333333334","2026-06-30 06:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W ??CE","FITELBERGA","43-241","??KA","18.906757","49.9582444","99.90000000000002","997.0333333333333","19.133333333333336","23.266666666666666","11.876666666666667","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA NR 3 W LUBONIU","ARMII POZNA?","62-030","LUBO?","16.8968","52.3481","84.26666666666667","1009.2333333333332","21.933333333333334","3.5","1.86","2026-06-30 06:00:00.0"
"ZESP?? SZK?? PONADGIMNAZJALNYCH CENTRUM KSZTA?CENIA USTAWICZNEGO W PRZYGODZICACH","PTR","63-421","PRZYGODZICE","17.822685","51.59023","82.43333333333334","1017.6333333333333","19.433333333333334","5.933333333333334","3.16","2026-06-30 06:00:00.0"
"LICEUM OG?LNOKSZTA?C?CE IM. W?ADYS?AWA JAGIE??Y W ODOLANOWIE","KROTOSZY?SKA","63-430","ODOLAN?W","17.66024","51.58063","99.90000000000002","1006.6333333333333","20.066666666666666","21.099999999999998","11.753333333333332","2026-06-30 06:00:00.0"
"ZESP?? SZK?? W PIOTROWIE","","62-814","PIOTR?W","18.05485","51.81570","99.90000000000002","1007.7666666666668","21.366666666666664","8.666666666666666","4.883333333333333","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA W CZARNYMLESIE","","63-421","CZARNYLAS","17.762604","51.508366","85.89999999999999","1001.7666666666668","21.899999999999995","6.1000000000000005","3.0366666666666666","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU","?ABIKOWSKA","62-030","LUBO?","16.878431","52.346672","77.63333333333334","1015.3000000000001","21.1","4.5","2.653333333333333","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA IM. POWSTA?C?W WIELKOPOLSKICH W DORUCHOWIE","KALISKA","63-505","DORUCH?W","18.0786","51.4189","98.46666666666665","1025.3999999999999","20.766666666666666","4.633333333333334","2.7733333333333334","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA IM. MIKO?AJA KOPERNIKA W BUKOWCU","SZKOLNA","95-006","BUKOWIEC","19.6757","51.6918","97.96666666666665","992.3000000000001","22.53333333333333","8.333333333333334","4.483333333333333","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE","MARII KONOPNICKIEJ","63-220","KOTLIN","17.645437","51.91866","99.90000000000002","1004.8333333333334","20.766666666666666","0.13333333333333333","0.07333333333333333","2026-06-30 06:00:00.0"
"SZKO?A PODSTAWOWA NR 2 W OTMUCHOWIE","KALINOWA","48-385","OTMUCH?W","17.213","50.46535","99.90000000000002","1001.3000000000001","21.833333333333332","15.533333333333331","10.09","2026-06-30 06:00:00.0"
