NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE,18.22403,51.51563, 0.1, 1005.2666666666668, 0.0,0.0,0.0, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE,19.94282,49.96103, 67.4, 973.5666666666666, 19.425,3.291666666666666,2.933333333333333, 2026-07-23 17:04:30
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA,18.9457058,49.965883, 99.90000000000002, 995.6, 17.233333333333334,0.066666666666666,0.043333333333333, 2026-07-23 17:04:30
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI,17.7889069,51.596172, 99.90000000000002, 992.4, 16.4,21.3,11.15, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE,18.989839,49.971937, 90.2, 982.0666666666666, 18.333333333333332,0.7000000000000001,0.376666666666666, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA,18.774985,49.9603559, 75.26666666666667, 988.4, 17.633333333333333,0.6666666666666661,0.406666666666666, 2026-07-23 17:04:30
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK,18.94634,50.00955, 88.76666666666665, 990.5, 17.0,0.866666666666666,0.443333333333333, 2026-07-23 17:04:30
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA,18.906757,49.9582444, 99.90000000000002, 987.1666666666666, 15.633333333333333,0.533333333333333,0.33, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ,16.8968,52.3481, 91.16666666666667, 995.3000000000001, 18.733333333333334,0.266666666666666,0.14, 2026-07-23 17:04:30
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE,17.822685,51.59023, 70.9, 1004.075, 17.9,0.475,0.235, 2026-07-23 17:04:30
LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA JAGIEŁŁY W ODOLANOWIE, KROTOSZYŃSKA, 63-430, ODOLANÓW,17.66024,51.58063, 75.39999999999999, 995.2333333333332, 18.4,2.5666666666666678,1.403333333333333, 2026-07-23 17:04:30
ZESPÓŁ SZKÓŁ W PIOTROWIE, , 62-814, PIOTRÓW,18.05485,51.8157, 94.26666666666667, 996.1, 16.433333333333334,1.166666666666666,0.63, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA W CZARNYMLESIE, , 63-421, CZARNYLAS,17.762604,51.508366, 64.96666666666665, 990.8333333333334, 18.5,0.0,0.0, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU, ŻABIKOWSKA, 62-030, LUBOŃ,16.878431,52.346672, 85.03333333333335, 1003.8333333333334, 18.766666666666666,0.766666666666666,0.413333333333333, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W DORUCHOWIE, KALISKA, 63-505, DORUCHÓW,18.0786,51.4189, 76.13333333333333, 1014.9666666666667, 17.966666666666665,0.0,0.0, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W BUKOWCU, SZKOLNA, 95-006, BUKOWIEC,19.6757,51.6918, 99.90000000000002, 979.8666666666667, 17.333333333333332,0.966666666666666,0.52, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE, MARII KONOPNICKIEJ, 63-220, KOTLIN,17.645437,51.91866, 99.90000000000002, 993.6999999999999, 17.166666666666668,0.0,0.0, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA NR 2 W OTMUCHOWIE, KALINOWA, 48-385, OTMUCHÓW,17.213,50.46535, 78.96666666666667, 991.6666666666666, 19.433333333333334,3.233333333333333,2.043333333333333, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA IM. BOHATERÓW POWSTAŃ ŚLĄSKICH W KAŁKOWIE, , 48-364, KAŁKÓW,17.185241,50.4042, 47.56666666666666, 987.3666666666667, 21.233333333333334,1.2,0.693333333333333, 2026-07-23 17:04:30
SZKOŁA PODSTAWOWA W MACIEJOWICACH, , 48-385, MACIEJOWICE,17.13497,50.4998, 64.60000000000001, 977.7666666666668, 18.400000000000002,0.7000000000000001,0.42, 2026-07-23 17:04:30
TEST SZKOŁA, ul Testowa, 00-000, TESTCITY,-157.52969778504766,1.8586845937815497, 82.8, 994.4666666666667, 18.666666666666668,0.166666666666666,0.09, 2026-07-23 17:04:30
ZESPÓŁ EDUKACYJNY W KONOTOPIE, PL. POWSTAŃCÓW WIELKOPOLSKICH, 67-416, KONOTOP,15.9031,51.93023, 51.5, 1004.6, 21.1,2.799999999999999,1.57, 2026-07-23 17:04:30
PRZEDSZKOLE NR 6 W BOCHNI, MUROWIANKA, 32-700, BOCHNIA,20.4415,49.96533, 54.53333333333333, 999.0666666666666, 20.233333333333334,1.0,0.603333333333333, 2026-07-23 17:04:30
