"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE, 18.22403, 51.51563, 99.90000000000002, 1010.5666666666666, 24.233333333333334, 0.0, 0.0, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE, 19.94282, 49.96103, 35.6, 980.3249999999999, 22.641666666666666, 1.625, 1.266666666666666, 2026-07-03 20:22:18
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA, 18.9457058, 49.965883, 31.666666666666668, 1003.1333333333333, 28.400000000000002, 0.033333333333333, 0.02, 2026-07-03 20:22:18
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI, 17.7889069, 51.596172, 99.90000000000002, 992.4, 16.4, 21.3, 11.15, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE, 18.989839, 49.971937, 55.63333333333333, 989.3000000000001, 22.166666666666668, 0.766666666666666, 0.41333333333333305, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA, 18.774985, 49.9603559, 25.3, 995.0666666666666, 29.333333333333332, 0.5666666666666661, 0.296666666666666, 2026-07-03 20:22:18
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK, 18.94634, 50.00955, 37.166666666666664, 998.5333333333333, 23.2, 2.199999999999999, 1.24, 2026-07-03 20:22:18
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA, 18.906757, 49.9582444, 37.733333333333334, 993.9666666666667, 26.633333333333336, 0.9666666666666661, 0.47000000000000003, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ, 16.8968, 52.3481, 44.6, 1002.3666666666667, 22.53333333333333, 1.033333333333333, 0.603333333333333, 2026-07-03 20:22:18
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE, 17.822685, 51.59023, 77.63333333333334, 1008.3000000000001, 15.166666666666666, 1.666666666666666, 0.8633333333333331, 2026-07-03 20:22:18
LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA JAGIEŁŁY W ODOLANOWIE, KROTOSZYŃSKA, 63-430, ODOLANÓW, 17.66024, 51.58063, 40.166666666666664, 1003.6, 22.099999999999998, 0.5666666666666661, 0.303333333333333, 2026-07-03 20:22:18
ZESPÓŁ SZKÓŁ W PIOTROWIE, None, 62-814, PIOTRÓW, 18.05485, 51.81570, 43.800000000000004, 1003.7666666666668, 22.03333333333333, 0.0, 0.0, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA W CZARNYMLESIE, None, 63-421, CZARNYLAS, 17.762604, 51.508366, 42.13333333333333, 997.7333333333332, 21.566666666666666, 0.0, 0.0, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU, ŻABIKOWSKA, 62-030, LUBOŃ, 16.878431, 52.346672, 43.76666666666667, 1009.9666666666667, 23.5, 0.33333333333333304, 0.30666666666666603, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W DORUCHOWIE, KALISKA, 63-505, DORUCHÓW, 18.0786, 51.4189, 35.26666666666667, 1022.0, 25.133333333333336, 0.0, 0.0, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W BUKOWCU, SZKOLNA, 95-006, BUKOWIEC, 19.6757, 51.6918, 44.5, 987.2000000000002, 23.3, 0.0, 0.0, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE, MARII KONOPNICKIEJ, 63-220, KOTLIN, 17.645437, 51.91866, 51.56666666666666, 1000.6333333333333, 21.633333333333336, 0.0, 0.0, 2026-07-03 20:22:18
SZKOŁA PODSTAWOWA NR 2 W OTMUCHOWIE, KALINOWA, 48-385, OTMUCHÓW, 17.213, 50.46535, 43.53333333333333, 998.9333333333334, 23.866666666666664, 0.066666666666666, 0.04, 2026-07-03 20:22:18
