"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH","UL. SZKOLNA","63-522","KRASZEWICE","18.22403","51.51563","99.90000000000002","1016.6666666666666","18.833333333333332","4.933333333333333","3.106666666666667","2026-06-30 07:00:00.0"
"SZKO?A PODSTAWOWA WE WRZ?SOWICACH","UL. SZKOLNA","32-040","WRZ?SOWICE","19.94282","49.96103","73.08333333333333","983.4916666666667","24.15833333333333","17.0","15.1","2026-06-30 07:00:00.0"
"ZESP?? SZK?? NR 1 W PSZCZYNIE","UL. KAZIMIERZA WIELKIEGO","43-200","PSZCZYNA","18.9457058","49.965883","99.90000000000002","1005.8666666666667","21.066666666666666","26.5","16.273333333333333","2026-06-30 07:00:00.0"
"ZESP?? SZK?? IM. POWSTA?C?W WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM","SZKOLNA","63-421","JANK?W PRZYGODZKI","17.7889069","51.596172","99.90000000000002","992.4","16.4","21.3","11.15","2026-06-30 07:00:00.0"
"SZKO?A PODSTAWOWA NR 7 IM. ?O?NIERZY WRZE?NIA W ?WIKLICACH","UL. M?CZENNIK?W O?WI?CIMSKICH","43-229","?WIKLICE","18.989839","49.971937","99.90000000000002","991.0333333333333","22.7","22.266666666666666","13.563333333333333","2026-06-30 07:00:00.0"
"SZKO?A PODSTAWOWA NR 12 W STUDZIONCE","UL. JORDANA","43-245","STUDZIONKA","18.774985","49.9603559","99.90000000000002","998.3666666666667","21.166666666666668","19.566666666666666","10.15","2026-06-30 07:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W ??CE","FITELBERGA","43-241","??KA","18.906757","49.9582444","99.90000000000002","997.1666666666666","19.900000000000002","21.900000000000002","12.62","2026-06-30 07:00:00.0"
"SZKO?A PODSTAWOWA NR 3 W LUBONIU","ARMII POZNA?","62-030","LUBO?","16.8968","52.3481","83.96666666666667","1009.0666666666666","22.066666666666666","3.0333333333333337","1.6533333333333333","2026-06-30 07:00:00.0"
"ZESP?? SZK?? PONADGIMNAZJALNYCH CENTRUM KSZTA?CENIA USTAWICZNEGO W PRZYGODZICACH","PTR","63-421","PRZYGODZICE","17.822685","51.59023","64.36666666666666","1017.8000000000001","22.566666666666666","1.7333333333333334","1.1199999999999999","2026-06-30 07:00:00.0"
"LICEUM OG?LNOKSZTA?C?CE IM. W?ADYS?AWA JAGIE??Y W ODOLANOWIE","KROTOSZY?SKA","63-430","ODOLAN?W","17.66024","51.58063","99.90000000000002","1007.2000000000002","20.099999999999998","17.033333333333335","9.736666666666666","2026-06-30 07:00:00.0"
